frame_id,source_index,source_label,total_people,queue_pairs,queue_detected,roi_Check-in,roi_Immigration,roi_Security Lane
361,0,File: 2025-11-27 18-27-45.mp4,18,4,False,1,1,6
362,0,File: 2025-11-27 18-27-45.mp4,17,3,False,1,1,5
363,0,File: 2025-11-27 18-27-45.mp4,18,5,True,1,1,6
364,0,File: 2025-11-27 18-27-45.mp4,18,5,True,1,1,6
365,0,File: 2025-11-27 18-27-45.mp4,18,5,True,1,1,6
366,0,File: 2025-11-27 18-27-45.mp4,18,5,True,1,1,6
367,0,File: 2025-11-27 18-27-45.mp4,18,5,True,1,1,6
368,0,File: 2025-11-27 18-27-45.mp4,18,5,True,1,1,6
369,0,File: 2025-11-27 18-27-45.mp4,18,5,True,1,1,6
370,0,File: 2025-11-27 18-27-45.mp4,18,4,False,1,1,6
371,0,File: 2025-11-27 18-27-45.mp4,17,3,False,1,1,5
372,0,File: 2025-11-27 18-27-45.mp4,17,3,False,1,1,5
373,0,File: 2025-11-27 18-27-45.mp4,17,3,False,1,1,4
374,0,File: 2025-11-27 18-27-45.mp4,16,3,False,1,1,4
375,0,File: 2025-11-27 18-27-45.mp4,15,4,False,1,1,4
376,0,File: 2025-11-27 18-27-45.mp4,15,4,False,1,1,4
377,0,File: 2025-11-27 18-27-45.mp4,15,3,False,1,1,4
378,0,File: 2025-11-27 18-27-45.mp4,15,3,False,1,1,4
